senet:
Test set: Average loss: 0.9139, Accuracy: 0.7794
Test set: Average loss: 0.9163, Accuracy: 0.7794
Test set: Average loss: 0.9505, Accuracy: 0.8309
Test set: Average loss: 1.0995, Accuracy: 0.7757
Test set: Average loss: 0.7485, Accuracy: 0.8015
Test set: Average loss: 0.7701, Accuracy: 0.8015
Test set: Average loss: 0.8923, Accuracy: 0.8051
Test set: Average loss: 0.8367, Accuracy: 0.8015
Test set: Average loss: 1.0986, Accuracy: 0.7684
Test set: Average loss: 0.8244, Accuracy: 0.7978
Test set: Average loss: 0.9615, Accuracy: 0.7831
Test set: Average loss: 0.9409, Accuracy: 0.8162
Test set: Average loss: 1.0846, Accuracy: 0.7684
Test set: Average loss: 0.7482, Accuracy: 0.8162
Test set: Average loss: 0.9705, Accuracy: 0.7904
Test set: Average loss: 0.9481, Accuracy: 0.7941
Test set: Average loss: 0.9101, Accuracy: 0.8162
Test set: Average loss: 1.0362, Accuracy: 0.7794
Test set: Average loss: 0.8032, Accuracy: 0.7941
Test set: Average loss: 0.9117, Accuracy: 0.7831
Test set: Average loss: 1.2579, Accuracy: 0.7684
Test set: Average loss: 1.1114, Accuracy: 0.8051
Test set: Average loss: 0.8556, Accuracy: 0.8088
Test set: Average loss: 0.9628, Accuracy: 0.7794
Test set: Average loss: 0.9160, Accuracy: 0.8162
Test set: Average loss: 0.9009, Accuracy: 0.8051
Test set: Average loss: 0.7628, Accuracy: 0.8272
Test set: Average loss: 0.9786, Accuracy: 0.8125
Test set: Average loss: 0.9264, Accuracy: 0.7904
Test set: Average loss: 1.1331, Accuracy: 0.7831
Test set: Average loss: 1.1747, Accuracy: 0.7684
Test set: Average loss: 1.0931, Accuracy: 0.8015
Test set: Average loss: 0.8647, Accuracy: 0.7941
Test set: Average loss: 0.9495, Accuracy: 0.7721
Test set: Average loss: 0.9463, Accuracy: 0.7978
Test set: Average loss: 0.9002, Accuracy: 0.7978
Test set: Average loss: 1.0805, Accuracy: 0.7574
Test set: Average loss: 0.8525, Accuracy: 0.7904
Test set: Average loss: 0.7555, Accuracy: 0.8051
Test set: Average loss: 0.7100, Accuracy: 0.8199
Test set: Average loss: 0.8101, Accuracy: 0.8051
Test set: Average loss: 1.2247, Accuracy: 0.7574
Test set: Average loss: 1.1440, Accuracy: 0.7684
Test set: Average loss: 1.0729, Accuracy: 0.7757
Test set: Average loss: 0.9205, Accuracy: 0.7868
Test set: Average loss: 0.8293, Accuracy: 0.8015
Test set: Average loss: 0.6713, Accuracy: 0.8199
Test set: Average loss: 0.8705, Accuracy: 0.7978
Test set: Average loss: 0.8888, Accuracy: 0.8125
Test set: Average loss: 0.9310, Accuracy: 0.7831
Test set: Average loss: 0.9500, Accuracy: 0.7978
Test set: Average loss: 0.8680, Accuracy: 0.8419
Test set: Average loss: 0.9261, Accuracy: 0.7904
Test set: Average loss: 0.8974, Accuracy: 0.8088
Test set: Average loss: 0.9018, Accuracy: 0.8272
Test set: Average loss: 1.1903, Accuracy: 0.7610
Test set: Average loss: 0.9594, Accuracy: 0.7904
Test set: Average loss: 0.7141, Accuracy: 0.8199
Test set: Average loss: 0.9603, Accuracy: 0.7868
